#ID,Product Name
15D91D60,A4SAN-H/-E/-L/-WOHS
15D91B78,AOC-MTG-i2T2S
15D91B77,X11DSC
15D91B76,AOC-SMG3-2M2-B
15D91B75,X12DAi-N
15D91B74,H12SSW-iNR/NTR
15D91B73,AOC-A25G-b2S
15D91B72,Mellanox 25G (MT27712A0-FDCF-AE)
15D91B71,B12DPT
15D91B6F,X12DPFR-AN
15D91B6E,X12SCZ
15D91B6D,X12SAE-M/X12SCA-MF
15D91B6C,X12SAE/X12SCA-F
15D91B6B,AOC-SMG4-2M2-F
15D91B6A,X12DPT-B
15D91B69,AOC-SLG4-4E4T
15D91B68,AOC-SLG4-2E4T
15D91B67,SAS 3916 (AOC-S3916L-H16iR)
15D91B66,SAS 3908 (AOC-S3908L-H8iR)
15D91B65,SAS 3816 (AOC-S3816L-L16iT)
15D91B64,SAS 3808 (SCC-B8SB80-B1)
15D91B63,SAS 3408
15D91B62,X12SPW
15D91B61,X12DPG-QT
15D91B5F,AOC-SLG3-2M2
15D91B5E,AOC-SMG3-2H8M2
15D91B5D,AOC-SMG3-2H8M2-B
15D91B5C,AOC-SHG3-4M2P
15D91B5B,X12SPO-NTF-F
15D91B5A,X12QCH+
15D91B59,AOC-UR-I4xtf
15D91B58,X12DDW-A/A6
15D91B57,X12SPA-TF
15D91B56,C9Z490-PG(W)
15D91B55,H12DSG-O-CPU
15D91B54,H12DSU-IN
15D91B53,X11DPFF-SNR
15D91B52,X11QPL
15D91B51,AOC-S100GC-i2C
15D91B4F,X11DPD-L/M25
15D91B4E,AOC-SLG3-4E4T
15D91B4D,X11SWN
15D91B4C,X11SRi-IF
15D91B4B,X12DPU/-6/-R
15D91B4A,X12SPi-TF
15D91B49,A3SSV
15D91B48,B2SD2
15D91B47,X12DPi
15D91B46,X11DPT-BR
15D91B45,H12SST-PS
15D91B44,X11DPU-R
15D91B43,AOC-AG-i4S
15D91B42,X11DPU-S
15D91B41,X11SRL-F
15D91B3F,X11SPD-F
15D91B3E,AOC-S100G-b2C
15D91B3D,B11SCG-CTF
15D91B3C,AOM-SDW-B16X2
15D91B3B,X11SDS-8C
15D91B3A,H12DST-B
15D91B39,B11SCG-ZTF
15D91B38,X11DPT-BV
15D91B37,X11DPU-V
15D91B36,X11SCD-F
15D91B35,X11SDW
15D91B34,X11SPA-T
15D91B33,B11SRE
15D91B32,B11SRE-CPU
15D91B31,AOC-M25G-m2S
15D91B2F,AOM-SMF-TP4F
15D91B2E,AOC-MG-b2
15D91B2D,M11SDV
15D91B2C,H12SSW-NT
15D91B2B,H12SSW-iN
15D91B2A,AOC-2MG-i8
15D91B29,B2SC1
15D91B28,X11SPA-TF
15D91B27,AOC-S100G-b1C
15D91B26,AOC-2UR68-b2TS
15D91B25,X11DPU-ZE+
15D91B24,BPN-6S3008S6-MV2-NI22
15D91B23,RSC-UM2R-8+-NI22
15D91B22,AOC-SMG2-2TM2
15D91B21,AOC-SLG2-4TM2
15D91B20,AOC-SLG2-2TM2
15D91B1F,X11DPG-HGX2
15D91B1E,AOC-URN4-B2ts
15D91B1D,X11DPT-L
15D91B1C,X11SDD
15D91B1B,AOC-CTG-i2S
15D91B1A,C9Z390-CG(W)
15D91B19,H11SSW-NT/iN
15D91B18,C7B360-CB-ML
15D91B17,X11DPFF-SN
15D91B16,AOM-PICO-3L
15D91B15,X11SCL-LN4F
15D91B14,C9X299-PG300F
15D91B13,AOC-4UR66-i4XTF
15D91B12,AOC-SGP-i4
15D91B11,X11SCH-LN4F
15D91B10,A2SDV-LN8F/LN10PF
15D91B0F,X11SCM-2F/X11SCL-LN4F/X11SCM-LN8F
15D91B0E,X11SCL-IF
15D91B0D,X11SCV-Q/L
15D91B0C,AOC-B25G-6X4D
15D91B0B,AOC-STG-b2T
15D91B0A,B10DRT-IBF2 for onboard IB ID use
15D91B09,X11SCZ-F
15D91B08,C9X299-PG300
15D91B07,X11SCW-F
15D91B06,X11SCQ-L
15D91B05,X11SCQ
15D91B04,X11DPT-LC019
15D91B03,AOC-2UR688-i4XTF-IB001
15D91B02,X11DGO-T
15D91B01,X11DSN-TS
15D91A1F,X11SCL-F
15D91A1E,X11DAC
15D91A1D,X11SCA-F/W
15D91A1C,X11DSF
15D91A1B,X11SCE-F
15D91A1A,A2SD1-3750F/3955F
15D91A07,B11SPE-CPU-TF/25G
15D91A09,AOC-URN4-b2XT
15D91A08,AOC-STG-b2T
15D91A07,AOC-MTG-b2S
15D91A06,X11DPG-OT-CPU
15D91A05,AOM-M25G-i2S
15D91A04,B10KNM
15D91A03,H11SSL-i/c/nc
15D91A02,C7C242-CB-M
15D91A01,C7B360-CB-M
15D9099F,C7Z390-CG-IW
15D9099E,C9Z390-PGW
15D9099D,X11DSC+
15D9099C,SAS 3616
15D9099B,AOC-OPH-WFR
15D9099A,X11DPS-R
15D90999,AOC-MHIBE-m1CG
15D90998,C7Z370-CG-iW
15D90997,B11DPE
15D90996,AOC-MTG-b2T
15D90995,X11DPG-SN
15D90994,AOC-B25G-M2S
15D90993,AOC-URN4-i2TS
15D90992,B11SPi-CPU-TF
15D90991,C7Z370-CG-L
15D9098F,B11QPi
15D9098E,X11SRA-R/F
15D9098D,A2SAP-H/E/L
15D9098C,X11DPX-T
15D9098B,X11SSN
15D9098A,H11DST-B
15D90989,B10DRE
15D90988,X11DGQ
15D90987,X11SDV-TLN2F
15D90986,X11SDV-16/12C/BC-TP8F
15D90985,P9DSU-C
15D90984,X11SRM-(V)F
15D90983,AOC-M25G-m4S
15D90982,A2SDV-TLN5F
15D90981,X11DPH-i/Tq
15D90980,X11OPi
15D9097F,X11QPH+
15D9097E,X11SPG-F
15D9097D,C7B250-CB-i
15D9097C,AOC-IBH-X4ES
15D9097B,C9X299-PG/C9X299-PGF(-L)/C9X299-RPGF(-L)
15D9097A,X11DAI-N
15D90979,BMB-IBD-E3616
15D90978,AOC-S25G-i2S
15D90977,X11DPFR-SN
15D90976,SAS 3324
15D90975,SAS 3316
15D90974,SAS 3516
15D90973,SAS 3508
15D90972,SAS 3216
15D90971,X11SRE-EXP-SI030
15D90970,C7Z270-CG-M
15D9096F,AOC-IBH-X4ED
15D9096E,X11SPL-F
15D9096D,X11DPG-Qt
15D9096C,X11DPU-Z+
15D9096B,X11DPT-P-SG007
15D9096A,C7C232-CB-ML
15D90969,A2SDi-HLN4F
15D90968,X11DPL-i
15D90967,X11DDW
15D90966,B11DPT
15D90965,C7B250-CB-ML
15D90964,H11DSi-NT
15D90963,H11DSU-i
15D90962,X11DPT-B+ (change name to X11DPT-B)
15D90961,P9DSC
15D90960,X11SAN
15D9095F,X11SAA
15D9095E,X11SPH-NCTPF
15D9095D,X11SPM-T(P)F
15D9095C,X11DPU-X
15D9095B,X11DPU-XLL
15D9095A,X10DGO
15D90959,R10SR2
15D90958,X11SSH-GF/X11SSH-GTF-1585(L)
15D90957,AOC-MHIBF-m2Q2G
15D90956,AOC-MHIBF-m1Q2G
15D90955,X11SSW-(4)TF
15D90954,AOC-C25G-m1S
15D90953,X11SPW-(c)TF
15D90952,X11SPX-TF
15D90951,B2SS1(2)-MTF
15D90950,X10DRW-SE
15D9094F,P8DNU
15D9094E,AOC-MH25G-b2S2G
15D9094D,AOC-MHIBF-m2/1Q2G
15D9094C,AOC-S25G-m2S
15D9094B,AOC-S100G-m2C
15D9094A,AOC-2UR68-m2TS
15D90949,AOC-MH25G-m2S2T
15D90948,AOC-C25G-m2S
15D90947,A2SAN
15D90946,X10SDV-AM041
15D90945,C7Q270-CB-ML
15D90944,C7H270-CG-ML
15D90943,C7Z270-PG
15D90942,K1SPE R1.01
15D90941,X11SPi-TF
15D90940,C7Z270-CG
15D9093F,C7Z270-CG-L
15D9093E,X10DRT-B+
15D9093D,AOC-S3216L-L16iT
15D9093C,A2SAV
15D9093B,AOC-STGF-i2S
15D9093A,x11ssv-m4f
15D90939,X11SSV-M4
15D90938,X11DRT-SB-SG007 change to X11DPT
15D90937,X11DRT-SA-SG007 change to X11DPT
15D90936,AOC-UR-i4XTF
15D90935,AOC-STG-i4T
15D90934,AOC-MHFI-i1C
15D90933,P8DTU
15D90932,X10DRL-LN4
15D90931,B2SS1-CF
15D90930,X11SSQ-L
15D9092F,AOC-S40G-i1Q
15D9092E,AOC-2UR68-B2TS
15D9092D,X10SDE-DF
15D9092C,AOC-S8069L-16xR
15D9092B,X10DSN-TS
15D9092A,AOC-M25G-b2S
15D90929,AOC-2UR66-i4XTF
15D90928,AOC-S25G-b2S
15D90927,X11DRT-PS (change name to X11DPT-PS)
15D90926,AOC-MHIBF-1QG
15D90925,AOC-MHIBF-2QG
15D90924,X10SRM-(T)F
15D90923,AOM-X10OBI-PCH
15D90922,X10SRW-LN4F-II008
15D90921,X10SDV-7TP8F
15D90920,AOC-MTG-i2T
15D9091F,AOC-MTG-i4T
15D9091E,X10SD7-AC107
15D9091D,X11SSW-LN4F-II008
15D9091C,X11DRU+ (change name to X11DPU)
15D9091B,AOC-UR-i4XT+
15D9091A,AOC-2UR6-i4xT+
15D90919,X10SDD-F
15D90918,AOC-UR-i4GXS
15D90917,X11DRi (change name to X11DPi)
15D90916,X10DSC-TP4S
15D90915,AOC-STGS-i2T
15D90914,AOC-STGS-i1T
15D90913,AOC-MG-i4
15D90912,AOC-MG-i2
15D90911,X10DRT-PS
15D90910,A2SDi-H-TF/A2SDi-H-TP4F
15D9090F,A2SDi-LN4F/A2SDi-TP8F
15D9090E,K1SPE(-T)
15D9090D,X11SRE-DS018
15D9090C,AOC-MTG-I2s
15D9090B,AOC-MTG-i4S
15D9090A,AOC-SLG3-4E4
15D90909,X11SSD-F
15D90908,B2SS2
15D90907,X11SAT(-F)
15D90906,K1SPi-KB-SG007
15D90905,K1SPI-KA-SG007
15D90904,AOC-2UR6N4-i4XT
15D90903,AOC-CTGS-i2T
15D90902,C7Z170-OCE
15D90901,X11SSM
15D9089F,X11SAE-M
15D9089E,AOC-URN2-i4GXS
15D9089D,X10DSC+
15D9089C,X11SSH-CTF
15D9089B,X11SSW-F
15D9089A,X11SSL(-F)/M
15D90899,X10DRH-CLN4
15D90898,X11SSE
15D90897,B1SD1-TF
15D90896,X11SSM-F
15D90895,X11SAE-(F)
15D90894,X11SSV-Q
15D90893,X10DGQ
15D90892,X10DRG-O+-CPU
15D90891,X11SBA
15D90890,X11SSQ
15D9088F,AOM-PIO-i2XT
15D9088E,AOC-PIO-i2G
15D9088D,AOC-S100G-i2C
15D9088C,AOM-S3108-H8S-SB
15D9088B,C7Z170-SQ
15D9088A,AOC-URN6-i2XT
15D90889,B10DRG
15D90888,X11SSZ
15D90887,AOC-S8076L-L16e
15D90886,X11SSA(-F)/X11SSi-LN4(F)
15D90885,X11SSL-CF/-NF
15D90884,X11SSH-F/-LN4F
15D90883,K1SPI
15D90882,X10DRX
15D90881,X10DRT-XB-SG007
15D90880,X10DRT-XA-SG007
15D9087F,X10DRFF-iG
15D9087E,AOC-STG-i4S
15D9087D,X10SRD-F
15D9087C,AOC-XEH-i4M
15D9087B,AOC-XEH-i2M
15D9087A,B1SD2-TF
15D90879,X10DRD-I/L/NT
15D90878,RSC-S2-88
15D90877,X10DRT-HB-SG007
15D90876,A2SCL-IN001
15D90875,AOC-2UR66-i4G
15D90874,AOC-2UR8N4-i2XT
15D90873,AOC-2URN4-i4XT
15D90872,X10QRH+
15D90871,AOC-2UR68-i2XS
15D90870,AOC-URN2-ii2SX
15D9086F,X10DRT-L
15D9086E,X10DDW-iN
15D9086D,X10SDV-TLN4F
15D9086C,X10DAL-i
15D9086B,X10DRS
15D9086A,AOC-URN2-i2XT
15D90869,AOC-URN2-i4XT
15D90868,AOC-SLG3-2E4
15D90867,AOC-SLG3-4E4R (Re-driver by 16)
15D90866,AOC-SLG3-2E4R (Re-driver by 8)
15D90865,X10DRD-i/LTP
15D90864,X10DRW-E/NT
15D90863,RSC-W2-66
15D90862,B1SL1-F
15D90861,B10DRT
15D90860,X10DRL-C/CT
15D9085F,AOC-2UR68-i2XT
15D9085E,AOC-2UR6-i4XT
15D9085D,AOC-UR-i2XT
15D9085C,X10DRU-XLL
15D9085B,X10DRT-HA-SG007
15D9085A,A1SRM-LN7F
15D90859,X10DRH-C
15D90858,X10DRT-H
15D90857,X10SRA
15D90856,C7X99
15D90855,H9SKV-420
15D90854,X10DRU-X
15D90853,X10QBL
15D90852,X10DRG-Q
15D90851,PMC PM8076
15D90850,AOC-PG-i4M
15D9084F,AOC-STGN-i2SF
15D9084D,AOC-STGN-i1SF
15D9084C,C7Z97-MF
15D9084B,X10SRG
15D9084A,AOC-S40G-i2Q
15D90849,AOC-UR-i4G
15D90848,AOC-2UR68-i4G
15D90847,AOC-UR-i4XT
15D90846,B1DRi
15D90845,X10DDW-i
15D90844,X10DRU-i+
15D90843,X10DRG-H(T)
15D90842,X10SLH-N6-ST031
15D90841,X9DRD-iT+
15D90840,B9DRG-3M
15D9083F,B9QR7
15D9083E,B10DRi
15D9083D,LSI 2116
15D9083C,A1SA7-2750F
15D9083B,X10DDW-iN3
15D9083A,X10DBT-T
15D90839,AOC-SLG3-2E4
15D90838,X10SRH-F
15D90837,X10DRT-D-SG007
15D90836,X10DAi
15D90835,X10DRC/i-LN4+/T4+
15D90834,X10SRI
15D90833,X10SRW-F
15D90832,X10SRL
15D90831,X10DRL-i
15D90830,X10DRFR
15D90829,C7Z97-OCE
15D90828,A1SA2-2750F
15D90827,X9QRH-TF
15D90826,X10SRE-EXP-SI030
15D90825,X10SRE-DS018
15D90824,X10DRT-P
15D90823,AOC-CTG-I1S
15D90822,X10DRFF(-C)
15D90821,X10DRW(-T)
15D90734,AOC-STG-I2T
15D90733,X9DB3-CPU-AI026
15D90732,X9DRG-OF
15D90731,X9DRT-P (rename from X9DRT-HF+II)
15D90820,A1SAM
15D90819,X10SLV-Q
15D90661,B1SA4-F
15D90730,X9DAX-HFT
15D90818,X10SAT
15D90662,X9SKV
15D90817,X10SLE-DF
15D90816,X10SBA
15D90729,B9DRG-E
15D90815,X10SLV
15D90814,X10SLX-TF
15D90728,X10DRI/T
15D90727,X9DRW-CF31/CTF31
15D90813,X10SEAA-LN4F
15D90726,X10QBi
15D90725,X9DRG+HF+II
15D90659,AOC-STGN-I1S
15D90812,X10SLL+-F
15D90811,X10SLM-F
15D90724,X9DRH-if-NV
15D90658,AOC-STG-B4S
15D90657,C7Z87-OCE
15D90810,x10SLD
15D90656,AOC-SGP-i2
15D90809,LSI3108
15D90808,LSI3008
15D90807,X10SLE
15D90806,X10SLM-LN4F
15D90655,AOC-XEH-IN2
15D90654,C7Q87
15D90653,C7Z87
15D90805,X10SAE
15D9D111,H8SME-F
15D90804,X10SL7-f
15D90723,X9DRL-7F/EF
15D90652,AOC-CGP-i2
15D9D011,H8QG7
15D90722,X9DB3-TPF
15D90721,X9DBS-F
15D90651,X9SBAA
15D90650,X9SPV-M4
15D90720,X9DRW-7TPF+
15D90803,X10SLH
15D90802,X10SLA
15D90801,X10SLL
15D90647,X9SCE-F
15D9CF11,H8SML-7/i(F)
15D90719,B9DRP
15D90718,x9DRFF-7G+
15D90717,X9DRFF-7+/i+
15D90648,C7B75
15D90649,X9SCAA
15D90716,X9DBU-3F-AI034
15D90646,X9SCFF
15D90715,x9drw-7tpf
15D90714,X9SRH-7F
15D90713,X9DRFF-7
15D90712,B9DRG-X
15D90645,C7H61
15D90711,X9DRG-HTF+
15D90710,X9SRE-DS018
15D9070F,X9QR7-TF
15D9070E,X9DAX-7
15D9070D,B9DR7
15D90644,x9SAE
15D9070C,X9SRD-CD
15D9070B,X9SRL-CF
15D9070A,X9DRF-F
15D90709,X9dA7/E
15D90708,X9DRT-F
15D90707,X9QR7-TF+
15D90643,X9SPU
15D90706,X9DRT-HF+
15D90705,X9DR7/E-LN4F
15D90704,X9DR7/E-TF+
15D90703,X9DBL-6F/3f/if
15D90702,X9DRD-7LN4F
15D90701,X9DRT-HIBQF-AI034
15D90700,X9DRT-HF-AI034
15D9066F,X9DRW-LN4F+-AI034
15D9066E,X9DR6-LN4F+-AI034
15D9066D,X9DR6+-F-AI034
15D9066C,B9DRG
15D9066B,X9SRL-F
15D90642,C7Q67-H
15D9066A,B9DRT
15D90669,X9DRX+-F
15D90668,X9SRD
15D90667,X9DRL-6/iF/3f
15D90666,X9DRT-D-SG007
15D90665,X9DRG-QF
15D90641,X9SCV-LN4F+/X9SPV-LN4F
15D90640,X9SCL/SCM-II
15D90664,X9DRH-7F
15D90663,X9SRW
15D90662,X9DRG-HF
15D90661,X9SRG
15D90691,2308
15D90690,2208
15D90660,X9DRD-iF
15D90638,X8QB6-LF
15D90637,X9DBU-6F/3f/if
15D90636,X9DRW-6F/3f/if
15D90635,X9DAL-6/i/3
15D9CE11,H8DCT-HLN4F
15D90634,X9SCD
15D90633,X9SCV-Q
15D90632,X8DTG-QF+
15D90631,X9SCA/X9SCI
15D90630,X9DRW-6TF+/3TF+/3LN4F+
15D9062F,X9DRT-HF
15D9CD11,H8DCL-6F
15D9062E,X8STE-DS018
15D9062D,X8SIL-SIOM-FI005
15D9CB11,H8DGT-CM
15D9062C,X9DAi
15D9062B,X9SRi
15D9062A,X9SRA
15D90629,X9SRT-F
15D90628,X9DR6/i-F/X9DR3-F
15D9CA11,H8QGL
15D90627,X7SPT-DF-D525
15D90626,X9DR6-LN4F+/X9DR3-LN4F+
15D90625,B9DR6/i
15D90624,X9SCM
15D9BF11,H8DME-EX-LS006
15D90623,C7Q67
15D90622,C7P67
15D90621,X8OBN
15D9BE11,H8DCT
15D9BD11,H8DGT-C
15D9BC11,BHQG6/E
